Date;Open;High;Low;Close;Adj Close;Volume;MM200;Mayer;Variation;Gain;Loss;Simple RS;Classic RS;Simple RSI;Classic RSI
2015-08-11;34.0;34.0;34.0;34.0;19.570083618164062;0;17.09252389431;1.1449499055361174;0.0;0.0;0.0;;24.06056431872638;;96.00966687229483
2015-08-12;34.0;34.0;34.0;34.0;19.570083618164062;0;17.114571495056154;1.1434749402763151;0.0;0.0;0.0;;24.060564318726378;;96.00966687229483
2015-08-13;34.0;34.0;34.0;34.0;19.570083618164062;0;17.134224286079405;1.1421633854801152;0.0;0.0;0.0;;24.060564318726374;;96.00966687229483
2015-08-14;34.0;34.0;34.0;34.0;19.570083618164062;0;17.15387707710266;1.1408548359184993;0.0;0.0;0.0;;24.060564318726374;;96.00966687229483
2015-08-17;34.0;34.0;34.0;34.0;19.570083618164062;0;17.173529868125915;1.1395492812742098;0.0;0.0;0.0;;24.060564318726374;;96.00966687229483
2015-08-18;34.0;34.0;34.0;34.0;19.570083618164062;0;17.19318265914917;1.1382467112771615;0.0;0.0;0.0;;24.060564318726378;;96.00966687229483
2015-08-19;34.0;34.0;34.0;34.0;19.570083618164062;0;17.212835450172424;1.1369471157041722;0.0;0.0;0.0;;24.060564318726374;;96.00966687229483
2015-08-20;34.0;34.0;34.0;34.0;19.570083618164062;0;17.23248824119568;1.1356504843786963;0.0;0.0;0.0;;24.060564318726374;;96.00966687229483
2015-08-21;34.0;34.0;34.0;34.0;19.570083618164062;0;17.252141032218933;1.134356807170559;0.0;0.0;0.0;;24.060564318726374;;96.00966687229483
2015-08-24;34.0;34.0;34.0;34.0;19.570083618164062;0;17.271793823242188;1.1330660739956917;0.0;0.0;0.0;;24.060564318726378;;96.00966687229483
2015-08-25;34.0;34.0;34.0;34.0;19.570083618164062;0;17.291446614265443;1.1317782748158702;0.0;0.0;0.0;;24.060564318726374;;96.00966687229483
2015-08-26;34.0;34.0;34.0;34.0;19.570083618164062;0;17.312272362709045;1.1304168053824284;0.0;0.0;0.0;;24.06056431872637;;96.00966687229483
2015-08-27;34.0;34.0;34.0;34.0;19.570083618164062;0;17.333098111152648;1.1290586075649147;0.0;0.0;0.0;;24.06056431872637;;96.00966687229483
2015-08-28;34.0;34.0;34.0;34.0;19.570083618164062;0;17.353923859596254;1.127703669584924;0.0;0.0;0.0;;24.060564318726367;;96.00966687229483
2015-08-31;34.0;34.0;34.0;34.0;19.570083618164062;0;17.374749608039856;1.1263519797205224;0.0;0.0;0.0;;24.060564318726364;;96.00966687229483
2015-09-01;34.0;34.0;34.0;34.0;19.570083618164062;0;17.39557535648346;1.125003526305909;0.0;0.0;0.0;;24.060564318726364;;96.00966687229483
