;Acao;Data;Hora;Descrição;Link
56;BRSR3;30/10/2019;17:27;Conversão de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=718211&descTipo=IPE&CodigoInstituicao=1
57;BRSR3;08/10/2019;17:15;Conversão de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=715163&descTipo=IPE&CodigoInstituicao=1
58;BRSR3;19/09/2019;08:38;Cancelamento de Oferta;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=711693&descTipo=IPE&CodigoInstituicao=1
59;BRSR3;18/09/2019;04:21;Alterações na Oferta Restrita de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=711447&descTipo=IPE&CodigoInstituicao=1
60;BRSR3;15/09/2019;18:30;Programa de Units;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=711056&descTipo=IPE&CodigoInstituicao=1
61;BRSR3;10/09/2019;04:20;Oferta Restrita de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=710139&descTipo=IPE&CodigoInstituicao=1
62;BRSR3;09/09/2019;23:55;Oferta Restrita de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=710138&descTipo=IPE&CodigoInstituicao=1
63;BRSR3;29/08/2019;18:10;Revogação de Liminar;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=708488&descTipo=IPE&CodigoInstituicao=1
64;BRSR3;14/08/2019;17:34;Possível Oferta Restrita;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=706181&descTipo=IPE&CodigoInstituicao=1
65;BRSR3;13/08/2019;08:49;Guidance;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=705657&descTipo=IPE&CodigoInstituicao=1
66;BRSR3;07/08/2019;19:19;PAGAMENTO DE JUROS SOBRE CAPITAL PRÓPRIO REFERENTE AO 3º TRIMESTRE DE 2019;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=704296&descTipo=IPE&CodigoInstituicao=1
67;BRSR3;07/08/2019;17:31;PAGAMENTO DE JUROS SOBRE CAPITAL PRÓPRIO REFERENTE AO 3º TRIMESTRE DE 2019;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=704203&descTipo=IPE&CodigoInstituicao=1
68;BRSR3;26/07/2019;09:38;Processo Ação popular;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=701959&descTipo=IPE&CodigoInstituicao=1
69;BRSR3;25/07/2019;17:59;Processo Ação popular;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=701833&descTipo=IPE&CodigoInstituicao=1
70;BRSR3;19/06/2019;17:27;Celebração ou Extinção de Contrato;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=696765&descTipo=IPE&CodigoInstituicao=1
71;BRSR3;12/06/2019;09:27;Oferta Pública Secundária;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=695695&descTipo=IPE&CodigoInstituicao=1
72;BRSR3;31/05/2019;17:17;Distribuição de Dividendos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=693430&descTipo=IPE&CodigoInstituicao=1
73;BRSR3;13/05/2019;17:22;PAGAMENTO DE JUROS SOBRE CAPITAL PRÓPRIO REFERENTE AO 2º TRIMESTRE DE 2019;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=690087&descTipo=IPE&CodigoInstituicao=1
74;BRSR3;26/04/2019;09:16;Pagamento de Dividendo Complementar 2018;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=682272&descTipo=IPE&CodigoInstituicao=1
75;BRSR3;25/04/2019;17:44;Pagamento de Dividendo Complementar 2018;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=682033&descTipo=IPE&CodigoInstituicao=1
76;BRSR3;22/04/2019;19:53;Indicação para eleição do Conselho Fiscal;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=680930&descTipo=IPE&CodigoInstituicao=1
77;BRSR3;22/04/2019;17:24;Indicação para eleição do Conselho Fiscal;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=680811&descTipo=IPE&CodigoInstituicao=1
78;BRSR3;08/04/2019;08:29;Intenção de alienação de posição acionária do Controlador;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=677704&descTipo=IPE&CodigoInstituicao=1
79;BRSR3;12/03/2019;17:22;Eleição de Membro do Conselho de Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=670142&descTipo=IPE&CodigoInstituicao=1
80;BRSR3;28/02/2019;09:26;PAGAMENTO DE JUROS SOBRE CAPITAL PRÓPRIO REFERENTE AO 1º TRIMESTRE DE 2019;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=667937&descTipo=IPE&CodigoInstituicao=1
81;BRSR3;28/02/2019;09:03;PAGAMENTO DE JUROS SOBRE CAPITAL PRÓPRIO REFERENTE AO 1º TRIMESTRE DE 2019;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=667929&descTipo=IPE&CodigoInstituicao=1
82;BRSR3;27/02/2019;16:37;Conversão de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=667750&descTipo=IPE&CodigoInstituicao=1
83;BRSR3;20/02/2019;16:27;Conversão de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=666520&descTipo=IPE&CodigoInstituicao=1
84;BRSR3;12/02/2019;08:56;Divulgação do Guidance 2019;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=664872&descTipo=IPE&CodigoInstituicao=1
85;BRSR3;28/01/2019;18:00;Conversão de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=662163&descTipo=IPE&CodigoInstituicao=1
86;BRSR3;04/01/2019;18:12;Conversão de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=659283&descTipo=IPE&CodigoInstituicao=1
87;BRSR3;20/12/2018;18:00;PAGAMENTO DE JUROS SOBRE CAPITAL PRÓPRIO COMPLEMENTARES - 4º TRIMESTRE DE 2018;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=657851&descTipo=IPE&CodigoInstituicao=1
88;BRSR3;19/12/2018;18:06;PAGAMENTO DE JUROS SOBRE CAPITAL PRÓPRIO COMPLEMENTARES - 4º TRIMESTRE DE 2018;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=657633&descTipo=IPE&CodigoInstituicao=1
89;BRSR3;03/12/2018;18:03;PAGAMENTO DE JUROS SOBRE CAPITAL PRÓPRIO COMPLEMENTARES - 4º TRIMESTRE DE 2018;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=654142&descTipo=IPE&CodigoInstituicao=1
90;BRSR3;03/12/2018;18:02;PLANO DE DESLIGAMENTO POR APOSENTADORIA VOLUNTÁRIA;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=654139&descTipo=IPE&CodigoInstituicao=1
91;BRSR3;30/11/2018;18:02;Conversão de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=653890&descTipo=IPE&CodigoInstituicao=1
92;BRSR3;26/11/2018;18:07;Parceria com OPnGO Brasil Tecnologia S.A.;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=653102&descTipo=IPE&CodigoInstituicao=1
93;BRSR3;26/11/2018;08:37;Parceria com OPnGO Brasil Tecnologia S.A.;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=653022&descTipo=IPE&CodigoInstituicao=1
94;BRSR3;20/11/2018;17:04;Desistência da Oferta e de listagem da Banrisul Cartões;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=652429&descTipo=IPE&CodigoInstituicao=1
95;BRSR3;20/11/2018;10:59;Desistência da Oferta e de listagem da Banrisul Cartões;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=652419&descTipo=IPE&CodigoInstituicao=1
96;BRSR3;09/11/2018;18:00;Conversão de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=650582&descTipo=IPE&CodigoInstituicao=1
97;BRSR3;06/11/2018;18:00;Plano de Desligamento por Aposentadoria Voluntária;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=649116&descTipo=IPE&CodigoInstituicao=1
98;BRSR3;05/11/2018;18:04;Conversão de Ações;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=648867&descTipo=IPE&CodigoInstituicao=1
99;BRSR3;24/10/2018;18:53;Pagamento de Juros Sobre o Capital Próprio - 4º Trimestre de 2018;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=647023&descTipo=IPE&CodigoInstituicao=1
