;papel;tipo;empresa;setor;cotacao;dt_ult_cotacao;min_52_sem;max_52_sem;vol_med;valor_mercado;valor_firma;ult_balanco_pro;nr_acoes;os_dia;pl;lpa;pvp;vpa;p_ebit;marg_bruta;psr;marg_ebit;p_ativo;marg_liquida;p_cap_giro;ebit_ativo;p_ativo_circ_liq;roic;div_yield;roe;ev_ebitda;liquidez_corr;ev_ebit;cres_rec;ativo;disponibilidades;ativo_circulante;divd_bruta;divd_liquida;patr_liquido;lucro_liquido_12m;lucro_liquido_3m
134;CRIV3;ON;ALFA FINANCEIRA ON;Intermediários Financeiros;5,15;03/02/2022;4,69;6,60;5.486;530.156.000;-;30/09/2021;102943000;-0.19;8.00;0.64;0.52;9.94;0;0;0;0;0;0.0;0;0.0;0;0;0.5;6.5;0;0;0;-2.6;6.386.610.000;0;0;0;0;1.023.020.000;66.274.000;22.903.000
135;CRIV4;PN;ALFA FINANCEIRA PN;Intermediários Financeiros;5,77;03/02/2022;5,15;6,20;7.250;593.981.000;-;30/09/2021;102943000;1.23;8.96;0.64;0.58;9.94;0;0;0;0;0;0.0;0;0.0;0;0;7.8;6.5;0;0;0;-2.6;6.386.610.000;0;0;0;0;1.023.020.000;66.274.000;22.903.000
136;CRPG3;ON;CRISTAL ON;Químicos;75,78;28/12/2021;42,01;127,00;180;2.199.060.000;1.983.940.000;30/09/2021;29019000;0.00;7.62;9.94;2.53;29.99;9.73;35.1;2.26;23.2;1.84;29.6;3.69;18.9;5.31;24.3;0.0;33.2;7.94;5.15;8.78;12.6;1.194.950.000;219.290.000;738.942.000;4.172.000;-215.118.000;870.219.000;288.500.000;68.408.000
137;CRPG5;PNA;CRISTAL PNA;Químicos;61,49;03/02/2022;43,07;117,42;916.610;1.784.380.000;1.569.260.000;30/09/2021;29019000;-0.02;6.19;9.94;2.05;29.99;7.89;35.1;1.83;23.2;1.49;29.6;3.00;18.9;4.31;24.3;8.2;33.2;6.28;5.15;6.94;12.6;1.194.950.000;219.290.000;738.942.000;4.172.000;-215.118.000;870.219.000;288.500.000;68.408.000
138;CRPG6;PNB;CRISTAL PNB;Químicos;62,99;02/02/2022;42,20;116,83;19.505;1.827.910.000;1.612.790.000;30/09/2021;29019000;0.00;6.34;9.94;2.10;29.99;8.09;35.1;1.87;23.2;1.53;29.6;3.07;18.9;4.41;24.3;8.0;33.2;6.45;5.15;7.14;12.6;1.194.950.000;219.290.000;738.942.000;4.172.000;-215.118.000;870.219.000;288.500.000;68.408.000
139;CSAB3;ON;COMPANHIA DE SEGUROS ALIANÇA DA BAHIA ON;Previdência e Seguros;65,00;16/06/2021;65,00;69,01;0;499.200.000;-;30/09/2021;7680000;0.00;15.05;4.32;2.76;23.58;17.14;65.6;158.93;927.0;1.33;1056.0;0;7.8;0;0;2.9;18.3;0;0;0;-15.6;374.066.000;0;0;0;0;181.092.000;33.169.000;19.232.000
140;CSAB4;PN;COMPANHIA DE SEGUROS ALIANÇA DA BAHIA PN;Previdência e Seguros;50,00;02/02/2022;40,04;53,00;5.097;384.000.000;-;30/09/2021;7680000;0.00;11.58;4.32;2.12;23.58;13.19;65.6;122.25;927.0;1.03;1056.0;0;7.8;0;0;4.1;18.3;0;0;0;-15.6;374.066.000;0;0;0;0;181.092.000;33.169.000;19.232.000
141;CSAN3;ON;COSAN SA INDUSTRIA E COMERCIO ON;Petróleo, Gás e Biocombustíveis;23,64;03/02/2022;19,13;26,74;137.814.000;44.303.000.000;75.695.400.000;30/09/2021;1874070000;0.04;8.11;2.92;3.13;7.56;13.18;26.2;2.01;15.2;0.49;26.7;2.50;3.7;-1.18;4.7;2.7;38.6;14.88;2.92;22.52;28.7;90.876.700.000;15.628.200.000;26.937.500.000;47.020.500.000;31.392.300.000;14.162.100.000;5.466.000.000;3.264.680.000
142;CSED3;ON NM;CRUZEIRO EDU ON NM;Diversos;5,95;03/02/2022;5,65;16,06;5.335.600;2.271.840.000;2.340.280.000;30/09/2021;381822000;-5.56;26.62;0.22;1.57;3.79;7.81;50.2;1.26;16.1;0.48;4.7;3.03;6.1;-1.13;8.0;2.5;5.9;4.81;2.31;8.04;0;4.778.410.000;1.109.990.000;1.319.390.000;1.178.430.000;68.442.100;1.448.400.000;85.359.000;13.538.000
143;CSMG3;ON;COPASA MG ON;Água e Saneamento;13,23;03/02/2022;11,50;17,35;22.866.900;5.030.750.000;7.561.410.000;30/09/2021;380253000;1.46;6.78;1.95;0.76;17.50;3.97;40.7;0.87;21.9;0.40;12.8;6.45;10.0;-1.54;11.5;7.1;11.2;3.89;1.39;5.97;8.2;12.717.100.000;1.458.310.000;2.796.670.000;3.988.970.000;2.530.660.000;6.654.040.000;742.039.000;16.369.000
144;CSNA3;ON;CSN ON;Siderurgia e Metalurgia;26,51;03/02/2022;19,68;50,03;292.264.000;36.783.300.000;48.020.500.000;30/09/2021;1387520000;-1.67;2.44;10.87;1.82;14.55;1.87;47.6;0.78;41.5;0.48;34.7;3.22;25.8;-1.92;38.4;8.0;74.7;2.15;1.51;2.45;23.6;76.072.000.000;18.445.700.000;33.609.000.000;29.682.900.000;11.237.200.000;20.194.800.000;15.084.500.000;1.149.540.000
145;CSRN3;ON;COSERN ON;Energia Elétrica;15,15;02/02/2022;12,73;25,16;9.672;2.546.320.000;4.143.320.000;30/09/2021;168074000;0.00;5.23;2.90;1.72;8.82;3.94;23.0;0.73;18.4;0.50;13.9;-90.94;12.6;-1.06;14.5;13.5;32.8;5.38;0.98;6.41;14.3;5.125.000.000;225.000.000;1.230.000.000;1.822.000.000;1.597.000.000;1.483.000.000;486.700.000;139.000.000
146;CSRN5;PNA;COSERN PNA;Energia Elétrica;15,25;04/01/2022;12,91;25,12;367;2.563.130.000;4.160.130.000;30/09/2021;168074000;0.00;5.27;2.90;1.73;8.82;3.96;23.0;0.73;18.4;0.50;13.9;-91.54;12.6;-1.06;14.5;14.8;32.8;5.40;0.98;6.43;14.3;5.125.000.000;225.000.000;1.230.000.000;1.822.000.000;1.597.000.000;1.483.000.000;486.700.000;139.000.000
147;CSRN6;PNB;COSERN PNB;Energia Elétrica;16,10;10/01/2022;12,27;53,24;280;2.705.990.000;4.302.990.000;30/09/2021;168074000;0.00;5.56;2.90;1.82;8.82;4.19;23.0;0.77;18.4;0.53;13.9;-96.64;12.6;-1.12;14.5;14.0;32.8;5.58;0.98;6.66;14.3;5.125.000.000;225.000.000;1.230.000.000;1.822.000.000;1.597.000.000;1.483.000.000;486.700.000;139.000.000
148;CTKA3;ON;KARSTEN ON;Tecidos, Vestuário e Calçados;27,50;31/01/2022;22,50;32,50;471;170.638.000;676.850.000;30/09/2021;6205000;0.00;3.22;8.54;-1.16;-23.73;3.52;41.6;0.34;9.7;0.29;10.6;0.86;8.1;-0.52;9.9;0.0;-36.0;11.08;1.92;13.95;12.0;595.949.000;40.429.000;412.482.000;546.642.000;506.213.000;-147.222.000;53.010.000;18.622.000
149;CTKA4;PN;KARSTEN PN;Tecidos, Vestuário e Calçados;11,55;03/02/2022;9,66;32,50;81.571;71.667.800;577.881.000;30/09/2021;6205000;-1.28;1.35;8.54;-0.49;-23.73;1.48;41.6;0.14;9.7;0.12;10.6;0.36;8.1;-0.22;9.9;0.0;-36.0;9.46;1.92;11.91;12.0;595.949.000;40.429.000;412.482.000;546.642.000;506.213.000;-147.222.000;53.010.000;18.622.000
150;CTNM3;ON;COTEMINAS ON;Tecidos, Vestuário e Calçados;8,38;31/01/2022;8,27;13,00;359;256.730.000;1.446.790.000;30/09/2021;30636000;0.00;-4.39;-1.91;0.32;26.32;1.27;30.9;0.11;8.6;0.06;-4.2;0.88;4.6;-0.25;5.4;0.0;-7.3;4.59;1.19;7.17;-5.6;4.355.940.000;303.198.000;1.876.480.000;1.493.260.000;1.190.060.000;806.232.000;-58.546.000;3.543.000
151;CTNM4;PN;COTEMINAS PN;Tecidos, Vestuário e Calçados;3,75;03/02/2022;3,41;7,70;37.367;114.885.000;1.304.940.000;30/09/2021;30636000;0.81;-1.96;-1.91;0.14;26.32;0.57;30.9;0.05;8.6;0.03;-4.2;0.39;4.6;-0.11;5.4;0.0;-7.3;4.14;1.19;6.46;-5.6;4.355.940.000;303.198.000;1.876.480.000;1.493.260.000;1.190.060.000;806.232.000;-58.546.000;3.543.000
152;CTSA3;ON;SANTANENSE ON;Tecidos, Vestuário e Calçados;1,88;03/02/2022;1,77;3,77;65.395;209.242.000;399.960.000;30/09/2021;111299000;-1.57;6.16;0.31;0.65;2.88;7.79;15.1;0.35;4.4;0.30;5.6;11.40;3.8;-2.17;4.6;0.0;10.6;10.19;1.07;14.88;8.2;698.125.000;19.586.000;281.348.000;210.304.000;190.718.000;320.486.000;33.992.000;18.714.000
153;CTSA4;PN;SANTANENSE PN;Tecidos, Vestuário e Calçados;1,28;03/02/2022;1,23;3,80;133.628;142.463.000;333.181.000;30/09/2021;111299000;0.00;4.19;0.31;0.44;2.88;5.30;15.1;0.24;4.4;0.20;5.6;7.76;3.8;-1.48;4.6;0.0;10.6;8.49;1.07;12.40;8.2;698.125.000;19.586.000;281.348.000;210.304.000;190.718.000;320.486.000;33.992.000;18.714.000
154;CURY3;ON NM;CURY S/A ON NM;Construção Civil;8,31;03/02/2022;5,72;10,48;6.816.790;2.425.480.000;2.260.780.000;30/09/2021;291875000;0.24;9.19;0.90;3.98;2.09;6.80;37.6;1.52;22.4;1.11;17.5;2.78;16.4;11.69;23.3;6.8;43.4;6.24;2.15;6.34;0;2.177.210.000;554.927.000;1.627.510.000;390.224.000;-164.703.000;608.658.000;263.969.000;67.405.000
155;CVCB3;ON NM;CVC BRASIL ON NM;Viagens e Lazer;13,71;03/02/2022;11,09;28,65;129.293.000;3.083.860.000;3.306.760.000;30/09/2021;224935000;2.08;51.54;0.27;5.93;2.31;-7.50;100.0;4.57;-60.9;0.58;7.7;150.43;-7.8;-2.11;-10.4;0.0;11.5;-13.57;1.01;-8.05;-15.1;5.293.040.000;770.702.000;3.311.960.000;993.606.000;222.904.000;519.798.000;59.839.000;-81.049.000
156;CXSE3;ON NM;CAIXA SEGURI ON NM;Previdência e Seguros;8,84;03/02/2022;7,56;13,05;25.850.600;26.520.000.000;25.901.400.000;30/09/2021;3000000000;0.23;14.70;0.60;2.45;3.60;-424.97;0;0;0;2.43;0.0;39.15;-0.6;39.20;-0.6;2.8;16.7;-415.27;7.86;-415.06;0;10.911.000.000;618.570.000;776.190.000;0;-618.570.000;10.811.300.000;1.803.840.000;492.136.000
157;CYRE3;PN;CYRELA BRAZIL REALTY PN;Construção Civil;16,82;03/02/2022;13,17;27,52;114.206.000;6.723.680.000;7.916.240.000;30/09/2021;399743000;0.00;7.02;2.40;1.08;15.51;8.68;34.5;1.48;17.1;0.51;22.9;1.31;5.9;9.25;7.2;6.5;15.5;9.64;3.41;10.21;15.0;13.163.000.000;2.210.400.000;7.285.660.000;3.402.960.000;1.192.560.000;6.198.680.000;958.037.000;237.546.000
